Folder 0
1.0: 0.1809505671262741: 10.63760802375595
1.0: 0.2557258903980255: 12.927558132412155
1.0: 0.36571961641311646: 14.149266417843027
1.0: 0.2559119164943695: 16.14041176576821
1.0: 0.13901498913764954: 8.878812653691893
1.0: 0.6093812584877014: 18.5033836736721
1.0: 0.9039218425750732: 40.63892670945251
1.0: 0.8191664814949036: 13.598414979701033
1.0: 0.4158296585083008: 18.17731284908557
1.0: 0.9792537689208984: 63.982961793607615
1.0: 0.4719417691230774: 13.127339720925205
1.0: 0.23245586454868317: 8.315588863566555
1.0: 0.03025428205728531: 31.932883927486955
1.0: 0.8471297025680542: 18.57793149560468
1.0: 0.1577625274658203: 7.865477564334045
1.0: 0.9899792671203613: 32.81695847196552
1.0: 0.593377947807312: 8.35096514524706
1.0: 0.7997413873672485: 37.062493315305375
1.0: 0.6169697642326355: 16.70425703853298
1.0: 0.9542268514633179: 38.83691003247828
1.0: 0.8365058898925781: 29.382358052723784
1.0: 0.3167644143104553: 53.292238263199216
1.0: 0.6578881740570068: 22.5949643403168
1.0: 0.45966920256614685: 25.53235563623085
1.0: 0.26268520951271057: 17.292178483100162
1.0: 0.1527237445116043: 9.107232499145988
1.0: 0.9296703338623047: 20.190095701808364
1.0: 0.4191169738769531: 14.996760026756046
1.0: 0.9129704236984253: 29.374364877269567
1.0: 0.6730430722236633: 6.598530566013702
1.0: 0.14842262864112854: 10.865442288517132
1.0: 0.9050267338752747: 33.75866350924835
1.0: 0.12543737888336182: 14.563785890863814
1.0: 0.8384712338447571: 24.78571952803739
1.0: 0.30736997723579407: 19.41550178255399
1.0: 0.8922141194343567: 22.858087717661448
1.0: 0.11732153594493866: 22.237436971040587
1.0: 0.2008955031633377: 31.744428779392425
1.0: 0.2816753685474396: 6.3688837431459175
1.0: 0.7734022736549377: 32.996746314007005
1.0: 0.2801249325275421: 16.784061339417757
1.0: 0.8304721713066101: 17.031805157493206
1.0: 0.973360002040863: 26.87379923167996
1.0: 0.31556642055511475: 12.01094582490117
0.0: 0.1641402542591095: 43.983361730201956
0.0: 0.13083457946777344: 13.519124679478644
0.0: 0.06892216950654984: 25.656879946788354
0.0: 0.09722202271223068: 17.878289761247455
0.0: 0.21662430465221405: 33.459691974015
0.0: 0.13905799388885498: 9.385875565451073
0.0: 0.1249842494726181: 22.28457073192051
0.0: 0.07701458036899567: 36.8846588941724
0.0: 0.2695636451244354: 34.156491560429075
0.0: 0.21239031851291656: 10.57693547762906
0.0: 0.03351233899593353: 21.394214345852546
0.0: 0.10956995189189911: 10.543474316365376
0.0: 0.12542837858200073: 17.101077580901414
0.0: 0.07723408937454224: 16.37681942069385
0.0: 0.22545228898525238: 20.56154009386245
0.0: 0.200260728597641: 12.930728210352099
0.0: 0.15696804225444794: 6.735261176773295
0.0: 0.1355925351381302: 38.51998058186347
0.0: 0.11734519153833389: 22.820523000350946
0.0: 0.11914147436618805: 48.26524358827242
0.0: 0.1743650585412979: 27.091114291206626
0.0: 0.8165135383605957: 21.15981055597566
0.0: 0.030124928802251816: 9.148361064398319
0.0: 0.06941282749176025: 5.18230496957506
0.0: 0.26208561658859253: 36.7343233895126
0.0: 0.27267196774482727: 26.1016574395127
0.0: 0.21940051019191742: 10.03708079233159
0.0: 0.23616768419742584: 19.316326140848485
0.0: 0.05741516500711441: 36.07550621461503
0.0: 0.0836019217967987: 8.593046949843353
0.0: 0.06563088297843933: 30.01673355780879
0.0: 0.11752945184707642: 14.608436124175288
0.0: 0.09749368578195572: 2.708423715211328
0.0: 0.0788990929722786: 14.394623071058867
0.0: 0.18469886481761932: 6.486999945826009
0.0: 0.05207667499780655: 15.656717201825044
0.0: 0.06527157872915268: 50.50457037060572
0.0: 0.02772369422018528: 15.252818751673114
0.0: 0.15253344178199768: 9.286195863610482
0.0: 0.11559824645519257: 12.67130270970016
0.0: 0.10949841886758804: 14.284926485497756
0.0: 0.024801399558782578: 4.743500377066723
0.0: 0.10532663017511368: 17.064027748301314
0.0: 0.20282940566539764: 15.40139632496917
0.0: 0.07654071599245071: 38.722361420338224
0.0: 0.26979660987854004: 6.939753174672768
0.0: 0.290557861328125: 8.817522530007823
0.0: 0.13931423425674438: 29.48825688160929
0.0: 0.04887816682457924: 5.428648853450909
0.0: 0.07550626993179321: 15.42029334277469
0.0: 0.08734384924173355: 50.283978026072376
0.0: 0.4587321877479553: 19.890812893518454
0.0: 0.023900851607322693: 22.332228794265838
0.0: 0.21465492248535156: 3.4689396620847237
0.0: 0.0798427015542984: 16.44886910847976
0.0: 0.10060345381498337: 16.68263307287919
0.0: 0.050164513289928436: 41.00540825585932
0.0: 0.03786804527044296: 80.42482253519164
0.0: 0.25575563311576843: 5.5383578044569735
0.0: 0.04747466742992401: 21.03691879866216
0.0: 0.18891233205795288: 22.59933935362042
0.0: 0.08215728402137756: 22.57947550160928
0.0: 0.1584436148405075: 9.776951576085743
0.0: 0.10982348024845123: 8.765131704040181
0.0: 0.19629473984241486: 18.676305599624378
0.0: 0.08104730397462845: 9.092662024141038
0.0: 0.0676894262433052: 21.925883196971014
0.0: 0.17953407764434814: 5.912449457380166
0.0: 0.16392488777637482: 7.534616327598868
0.0: 0.07055675238370895: 14.12996963541191
0.0: 0.14819476008415222: 23.63567590417178
0.0: 0.3622562289237976: 8.901600744470617
0.0: 0.14118358492851257: 24.161132395828925
0.0: 0.12484761327505112: 15.825739330736784
0.0: 0.40558919310569763: 53.4855255297192
0.0: 0.260980486869812: 12.686868868526144
0.0: 0.1510850042104721: 32.307705348576604
0.0: 0.17960454523563385: 10.338648792523646
0.0: 0.09524266421794891: 11.177624452463405
0.0: 0.12709902226924896: 19.94319313474892
0.0: 0.17845651507377625: 20.197671424166536
0.0: 0.24380995333194733: 12.21353751152818
0.0: 0.14027613401412964: 37.652586175549594
0.0: 0.04702318459749222: 37.59763016387858
0.0: 0.08414682745933533: 66.68572219260139
0.0: 0.08173190802335739: 12.473351633372733
0.0: 0.13171683251857758: 22.62612791940913
0.0: 0.17212913930416107: 10.379964054127983
0.0: 0.19024112820625305: 54.11273631742301
0.0: 0.16283485293388367: 17.677181393528908
0.0: 0.03576100245118141: 13.555149836540187
0.0: 0.10267433524131775: 13.491171626868386
0.0: 0.30459165573120117: 15.703170531345274
0.0: 0.2842365503311157: 25.35647353244763
0.0: 0.09030880779027939: 49.82665276594408
0.0: 0.040085505694150925: 9.47407391842335
0.0: 0.07421024143695831: 36.77101561253972
0.0: 0.17297866940498352: 37.00787344811822
0.0: 0.10404998809099197: 31.79139309143703
0.0: 0.09008102864027023: 31.308952776417012
1.0: 0.9628594517707825: 43.983361730201956
1.0: 0.5612796545028687: 13.519124679478644
1.0: 0.45500120520591736: 25.656879946788354
1.0: 0.1509530395269394: 17.878289761247455
1.0: 0.9179384708404541: 33.459691974015
1.0: 0.13153788447380066: 9.385875565451073
1.0: 0.20481593906879425: 22.28457073192051
1.0: 0.393796443939209: 36.8846588941724
1.0: 0.9060159921646118: 34.156491560429075
1.0: 0.26680484414100647: 10.57693547762906
1.0: 0.7315877676010132: 21.394214345852546
1.0: 0.08127061277627945: 10.543474316365376
1.0: 0.5157939791679382: 17.101077580901414
1.0: 0.7333741188049316: 16.37681942069385
1.0: 0.4231503903865814: 20.56154009386245
1.0: 0.10299297422170639: 12.930728210352099
1.0: 0.029947057366371155: 6.735261176773295
1.0: 0.9106377959251404: 38.51998058186347
1.0: 0.9311836361885071: 22.820523000350946
1.0: 0.9854200482368469: 48.26524358827242
1.0: 0.9146760106086731: 27.091114291206626
1.0: 0.5097787976264954: 21.15981055597566
1.0: 0.32416245341300964: 9.148361064398319
1.0: 0.07311011850833893: 5.18230496957506
1.0: 0.9311315417289734: 36.7343233895126
1.0: 0.20811103284358978: 26.1016574395127
1.0: 0.018302973359823227: 10.03708079233159
1.0: 0.9504457116127014: 19.316326140848485
1.0: 0.9004693627357483: 36.07550621461503
1.0: 0.026597416028380394: 8.593046949843353
1.0: 0.8876792788505554: 30.01673355780879
1.0: 0.5611890554428101: 14.608436124175288
1.0: 0.17023536562919617: 2.708423715211328
1.0: 0.6604537963867188: 14.394623071058867
1.0: 0.18244624137878418: 6.486999945826009
1.0: 0.30361229181289673: 15.656717201825044
1.0: 0.9254039525985718: 50.50457037060572
1.0: 0.7206568121910095: 15.252818751673114
1.0: 0.32427775859832764: 9.286195863610482
1.0: 0.11615032702684402: 12.67130270970016
1.0: 0.35376423597335815: 14.284926485497756
1.0: 0.23070669174194336: 4.743500377066723
1.0: 0.3794599175453186: 17.064027748301314
1.0: 0.7106064558029175: 15.40139632496917
1.0: 0.8476856350898743: 38.722361420338224
1.0: 0.16532106697559357: 6.939753174672768
1.0: 0.08509740978479385: 8.817522530007823
1.0: 0.8832354545593262: 29.48825688160929
1.0: 0.043478697538375854: 5.428648853450909
1.0: 0.6531774997711182: 15.42029334277469
1.0: 0.9720050692558289: 50.283978026072376
1.0: 0.8808274865150452: 19.890812893518454
1.0: 0.7145389914512634: 22.332228794265838
1.0: 0.0699121356010437: 3.4689396620847237
1.0: 0.2505323886871338: 16.44886910847976
1.0: 0.20067013800144196: 16.68263307287919
1.0: 0.7862058281898499: 41.00540825585932
1.0: 0.8556585907936096: 80.42482253519164
1.0: 0.15011779963970184: 5.5383578044569735
1.0: 0.34885331988334656: 21.03691879866216
1.0: 0.4689923822879791: 22.59933935362042
1.0: 0.8311272263526917: 22.57947550160928
1.0: 0.24336402118206024: 9.776951576085743
1.0: 0.28439706563949585: 8.765131704040181
1.0: 0.172467902302742: 18.676305599624378
1.0: 0.034998826682567596: 9.092662024141038
1.0: 0.2760401666164398: 21.925883196971014
1.0: 0.08203108608722687: 5.912449457380166
1.0: 0.05215409770607948: 7.534616327598868
1.0: 0.4066947400569916: 14.12996963541191
1.0: 0.5025715827941895: 23.63567590417178
1.0: 0.07081545144319534: 8.901600744470617
1.0: 0.410825252532959: 24.161132395828925
1.0: 0.10273659229278564: 15.825739330736784
1.0: 0.954059898853302: 53.4855255297192
1.0: 0.23349986970424652: 12.686868868526144
1.0: 0.9382760524749756: 32.307705348576604
1.0: 0.3263844847679138: 10.338648792523646
1.0: 0.6940962076187134: 11.177624452463405
1.0: 0.3702183663845062: 19.94319313474892
1.0: 0.476708322763443: 20.197671424166536
1.0: 0.11136233061552048: 12.21353751152818
1.0: 0.7047830820083618: 37.652586175549594
1.0: 0.37626194953918457: 37.59763016387858
1.0: 0.4819450378417969: 66.68572219260139
1.0: 0.7531670331954956: 12.473351633372733
1.0: 0.935306191444397: 22.62612791940913
1.0: 0.321828693151474: 10.379964054127983
1.0: 0.6410182118415833: 54.11273631742301
1.0: 0.4834270477294922: 17.677181393528908
1.0: 0.7330155372619629: 13.555149836540187
1.0: 0.747672438621521: 13.491171626868386
1.0: 0.8383438587188721: 15.703170531345274
1.0: 0.48514121770858765: 25.35647353244763
1.0: 0.8816608786582947: 49.82665276594408
1.0: 0.16453948616981506: 9.47407391842335
1.0: 0.6262667775154114: 36.77101561253972
1.0: 0.5142197012901306: 37.00787344811822
1.0: 0.8963263630867004: 31.79139309143703
1.0: 0.7884242534637451: 31.308952776417012
0.0: 0.10096845030784607: 44.95026110048437
0.0: 0.11013627797365189: 11.837501895318306
0.0: 0.12523065507411957: 10.256823040951227
0.0: 0.14410121738910675: 15.894758893835938
0.0: 0.02086215279996395: 19.5043791464982
0.0: 0.12497682124376297: 16.503625695275446
0.0: 0.3946317434310913: 43.789050897620314
0.0: 0.1690923273563385: 10.358817098038376
0.0: 0.17145150899887085: 48.57786668894067
0.0: 0.2550118863582611: 31.245910558524898
0.0: 0.08937105536460876: 49.978403027529176
0.0: 0.09846667945384979: 23.41623148236648
0.0: 0.344501256942749: 60.916452479295145
0.0: 0.16522186994552612: 15.868817643665654
0.0: 0.06896527111530304: 16.070584191113742
0.0: 0.07925238460302353: 46.41855613463983
0.0: 0.05756714567542076: 27.24685043788585
0.0: 0.2042253315448761: 23.38874668644291
0.0: 0.10579197853803635: 20.903895447282554
0.0: 0.18119384348392487: 23.89255285403827
0.0: 0.13806508481502533: 34.25705203670442
0.0: 0.12021534144878387: 23.44268365812682
0.0: 0.12933094799518585: 23.859714715220427
0.0: 0.06017426401376724: 12.109828645705367
0.0: 0.2079906463623047: 16.285032379557236
0.0: 0.03727925196290016: 44.97036488660553
0.0: 0.21491779386997223: 10.890637804237262
0.0: 0.09568595141172409: 13.783951266815714
0.0: 0.25233834981918335: 25.84320431212895
0.0: 0.248923659324646: 6.167149015047218
0.0: 0.15449140965938568: 13.974845755957727
0.0: 0.07633046060800552: 9.024696411054137
0.0: 0.14655986428260803: 33.61197600404528
0.0: 0.07202081382274628: 20.453134329172478
0.0: 0.1672462821006775: 24.978696714423148
0.0: 0.015293796546757221: 21.259447901662828
0.0: 0.07237370312213898: 9.95451105244378
0.0: 0.042446620762348175: 33.810769989635055
0.0: 0.15129686892032623: 54.69460688958442
0.0: 0.19290290772914886: 42.59822355785099
0.0: 0.1127190813422203: 19.157856894306928
0.0: 0.1742168515920639: 5.288060449515979
0.0: 0.08123220503330231: 8.558193608817747
0.0: 0.08831055462360382: 63.50922371625503
0.0: 0.10687433183193207: 13.081051852023847
0.0: 0.07122505456209183: 8.959461358040976
0.0: 0.049177661538124084: 15.536429614652867
0.0: 0.10161464661359787: 8.85023417192451
0.0: 0.02665182575583458: 12.90466375307395
0.0: 0.009824737906455994: 47.27428933637985
0.0: 0.22347478568553925: 23.883200654008665
0.0: 0.05462855100631714: 28.816927574350576
0.0: 0.07026433944702148: 12.837171593063145
0.0: 0.022594360634684563: 9.491310833025556
0.0: 0.2005520910024643: 11.190387567551165
0.0: 0.15011270344257355: 9.033410854535752
0.0: 0.19418960809707642: 7.251126694701163
0.0: 0.10802426934242249: 22.85510226345469
0.0: 0.12603169679641724: 17.977020425398532
0.0: 0.28593963384628296: 12.318036830132218
0.0: 0.12866799533367157: 16.39841054912652
0.0: 0.2828879654407501: 35.44693019016167
0.0: 0.2122294157743454: 14.508648988923836
0.0: 0.1549287885427475: 27.86595744474556
0.0: 0.14456097781658173: 12.628057827095125
0.0: 0.021991698071360588: 38.58378177841797
0.0: 0.04938977211713791: 40.534065452532886
0.0: 0.06624218076467514: 15.61459687976722
0.0: 0.2241363525390625: 29.506083758130305
0.0: 0.05456750839948654: 31.80305766683917
0.0: 0.10106496512889862: 77.01123112425044
0.0: 0.32042795419692993: 47.48905715202811
0.0: 0.051293205469846725: 31.745463347681998
0.0: 0.05214019492268562: 25.42250145214196
0.0: 0.044033460319042206: 36.90453616572396
0.0: 0.03157651424407959: 38.926164183824476
0.0: 0.36086633801460266: 8.955417373874141
0.0: 0.20973323285579681: 26.592335660581888
0.0: 0.10537800192832947: 23.091707749384106
0.0: 0.06906704604625702: 21.314104766964316
0.0: 0.08972980827093124: 15.555191753154357
0.0: 0.11594591289758682: 30.507575913418613
0.0: 0.36844542622566223: 25.78639553184907
0.0: 0.05157684162259102: 22.92400772693127
0.0: 0.05247374251484871: 5.927359961577343
0.0: 0.14785726368427277: 47.99078907405781
0.0: 0.2711114287376404: 15.665356452771663
0.0: 0.1174500435590744: 33.51881043463602
0.0: 0.04855244979262352: 43.25821908510056
0.0: 0.02082950994372368: 16.284695513302474
0.0: 0.03548445180058479: 6.602960913333032
0.0: 0.16030704975128174: 29.76701661409604
0.0: 0.07294266670942307: 10.880538299309983
0.0: 0.10235985368490219: 13.663054956344785
0.0: 0.10513630509376526: 19.97036383958549
0.0: 0.043179403990507126: 11.007721812658305
0.0: 0.158925861120224: 24.670678197403426
0.0: 0.09478455036878586: 66.3133033037047
0.0: 0.036326922476291656: 17.660120724212558
0.0: 0.056410156190395355: 16.269119365807775
1.0: 0.46521663665771484: 44.95026110048437
1.0: 0.20911678671836853: 11.837501895318306
1.0: 0.282417893409729: 10.256823040951227
1.0: 0.8487714529037476: 15.894758893835938
1.0: 0.7563881278038025: 19.5043791464982
1.0: 0.5990249514579773: 16.503625695275446
1.0: 0.26312658190727234: 43.789050897620314
1.0: 0.16322612762451172: 10.358817098038376
1.0: 0.9815033674240112: 48.57786668894067
1.0: 0.8867964148521423: 31.245910558524898
1.0: 0.8596900701522827: 49.978403027529176
1.0: 0.20976266264915466: 23.41623148236648
1.0: 0.9984577894210815: 60.916452479295145
1.0: 0.2248816043138504: 15.868817643665654
1.0: 0.370408833026886: 16.070584191113742
1.0: 0.8955150246620178: 46.41855613463983
1.0: 0.5308921337127686: 27.24685043788585
1.0: 0.8823031783103943: 23.38874668644291
1.0: 0.7019056677818298: 20.903895447282554
1.0: 0.5470926761627197: 23.89255285403827
1.0: 0.6196507811546326: 34.25705203670442
1.0: 0.8214418888092041: 23.44268365812682
1.0: 0.5940666794776917: 23.859714715220427
1.0: 0.33633652329444885: 12.109828645705367
1.0: 0.5694673657417297: 16.285032379557236
1.0: 0.54124915599823: 44.97036488660553
1.0: 0.16457492113113403: 10.890637804237262
1.0: 0.25311341881752014: 13.783951266815714
1.0: 0.2694959342479706: 25.84320431212895
1.0: 0.4612855017185211: 6.167149015047218
1.0: 0.6177268028259277: 13.974845755957727
1.0: 0.16937650740146637: 9.024696411054137
1.0: 0.520021378993988: 33.61197600404528
1.0: 0.729956328868866: 20.453134329172478
1.0: 0.9651911854743958: 24.978696714423148
1.0: 0.7133349180221558: 21.259447901662828
1.0: 0.33561134338378906: 9.95451105244378
1.0: 0.6019234657287598: 33.810769989635055
1.0: 0.9024865627288818: 54.69460688958442
1.0: 0.9829514622688293: 42.59822355785099
1.0: 0.2344902753829956: 19.157856894306928
1.0: 0.10560905933380127: 5.288060449515979
1.0: 0.1173478215932846: 8.558193608817747
1.0: 0.8843348026275635: 63.50922371625503
1.0: 0.25350844860076904: 13.081051852023847
1.0: 0.4202955663204193: 8.959461358040976
1.0: 0.05007404834032059: 15.536429614652867
1.0: 0.15836776793003082: 8.85023417192451
1.0: 0.14867225289344788: 12.90466375307395
1.0: 0.9990542531013489: 47.27428933637985
1.0: 0.7199264168739319: 23.883200654008665
1.0: 0.20094241201877594: 28.816927574350576
1.0: 0.3167572617530823: 12.837171593063145
1.0: 0.2605286240577698: 9.491310833025556
1.0: 0.06804825365543365: 11.190387567551165
1.0: 0.10229143500328064: 9.033410854535752
1.0: 0.08911897242069244: 7.251126694701163
1.0: 0.5931339263916016: 22.85510226345469
1.0: 0.4041423499584198: 17.977020425398532
1.0: 0.17424356937408447: 12.318036830132218
1.0: 0.4108883738517761: 16.39841054912652
1.0: 0.6492515802383423: 35.44693019016167
1.0: 0.21432296931743622: 14.508648988923836
1.0: 0.4652480185031891: 27.86595744474556
1.0: 0.4000260531902313: 12.628057827095125
1.0: 0.7634001970291138: 38.58378177841797
1.0: 0.8761270642280579: 40.534065452532886
1.0: 0.5327826142311096: 15.61459687976722
1.0: 0.909985363483429: 29.506083758130305
1.0: 0.17212292551994324: 31.80305766683917
1.0: 0.5910091400146484: 77.01123112425044
1.0: 0.6332497596740723: 47.48905715202811
1.0: 0.6188010573387146: 31.745463347681998
1.0: 0.6196399927139282: 25.42250145214196
1.0: 0.8982917666435242: 36.90453616572396
1.0: 0.9767333269119263: 38.926164183824476
1.0: 0.20235317945480347: 8.955417373874141
1.0: 0.8465116620063782: 26.592335660581888
1.0: 0.07601195573806763: 23.091707749384106
1.0: 0.6314205527305603: 21.314104766964316
1.0: 0.37468838691711426: 15.555191753154357
1.0: 0.18278618156909943: 30.507575913418613
1.0: 0.7889741063117981: 25.78639553184907
1.0: 0.5753293633460999: 22.92400772693127
1.0: 0.1395224779844284: 5.927359961577343
1.0: 0.8897944092750549: 47.99078907405781
1.0: 0.918743908405304: 15.665356452771663
1.0: 0.8746615648269653: 33.51881043463602
1.0: 0.989497184753418: 43.25821908510056
1.0: 0.96661376953125: 16.284695513302474
1.0: 0.9660204648971558: 6.602960913333032
1.0: 0.9006367325782776: 29.76701661409604
1.0: 0.7261030673980713: 10.880538299309983
1.0: 0.274117112159729: 13.663054956344785
1.0: 0.593849241733551: 19.97036383958549
1.0: 0.4894859194755554: 11.007721812658305
1.0: 0.1698697954416275: 24.670678197403426
1.0: 0.9677704572677612: 66.3133033037047
1.0: 0.13505436480045319: 17.660120724212558
1.0: 0.6772631406784058: 16.269119365807775
0.0: 0.08826181292533875: 5.422579601521694
0.0: 0.27676790952682495: 30.797257715040104
0.0: 0.0941028967499733: 10.663751349091712
0.0: 0.04912007227540016: 10.086641788374292
0.0: 0.12348465621471405: 24.815255766176442
0.0: 0.07679951936006546: 25.583852144904586
0.0: 0.2610550820827484: 14.009320928186947
0.0: 0.07949785888195038: 42.347367702932594
0.0: 0.06437661498785019: 6.575102802877844
